date,fire_detected,fire_count,max_frp,temp_max,temp_min,wind_max,precip_sum,humidity_mean
2025-08-31,1,450,563.06,28.4,13.2,12.9,0.0,37
2025-09-01,1,736,535.32,29.4,13.1,14.1,0.0,36
2025-09-02,1,623,289.97,29.3,14.4,15.0,0.6,35
2025-09-03,1,709,113.73,26.3,13.0,12.1,0.6,47
2025-09-04,1,700,132.85,26.5,13.2,13.4,0.0,46
2025-09-05,1,609,72.9,25.6,13.0,12.0,0.0,47
2025-09-06,1,548,125.52,24.2,12.2,13.6,0.0,47
2025-09-07,1,1087,2032.0,23.3,9.9,13.6,0.0,41
2025-09-08,1,704,537.49,22.0,9.3,12.0,0.0,35
2025-09-09,1,205,19.79,20.5,8.3,12.6,0.0,49
2025-09-10,1,140,147.21,17.0,9.1,10.3,2.2,70
2025-09-11,1,68,57.09,16.7,7.7,11.2,0.1,67
2025-09-12,1,142,40.45,18.3,7.5,9.0,0.3,67
2025-09-13,1,143,32.17,20.9,7.8,11.7,0.1,60
2025-09-14,1,168,57.25,22.0,9.5,10.5,0.0,59
2025-09-15,1,170,144.42,24.1,10.0,10.7,0.0,51
2025-09-16,1,168,46.47,25.5,10.9,12.5,0.0,38
2025-09-17,1,168,140.4,26.3,11.5,12.6,0.0,37
2025-09-18,1,19,6.66,24.3,13.7,8.0,0.5,43
2025-09-19,1,10,2.4,17.3,12.8,10.4,13.3,89
2025-09-20,1,66,14.63,19.3,9.9,9.4,1.0,77
2025-09-21,1,37,9.25,19.9,9.4,10.4,0.0,70
2025-09-22,1,94,170.51,21.5,7.7,8.7,0.0,64
2025-09-23,1,122,56.93,25.2,8.9,10.6,0.0,56
2025-09-24,1,56,69.21,23.3,10.0,10.8,0.0,58
2025-09-25,1,71,109.54,19.8,11.7,7.8,6.1,70
2025-09-26,1,76,21.02,20.7,8.3,10.3,0.9,77
2025-09-27,1,61,85.47,21.0,9.0,9.4,1.8,64
2025-09-28,1,22,30.85,19.3,9.9,10.0,1.5,71
2025-09-29,1,41,10.16,17.8,8.8,11.3,3.0,76
2025-09-30,1,34,15.93,15.0,9.3,10.6,15.4,83
2025-10-01,1,55,34.11,17.4,7.0,8.4,0.2,71
2025-10-02,1,35,17.06,17.0,7.5,11.5,0.3,73
2025-10-03,1,28,25.43,13.2,6.0,10.2,44.1,87
2025-10-04,1,49,5.43,13.3,2.1,8.5,0.0,70
2025-10-05,1,40,5.19,16.1,3.6,8.9,0.0,72
2025-10-06,1,73,87.93,18.8,4.9,10.7,0.0,66
2025-10-07,1,77,55.58,19.9,5.8,11.1,0.0,61
2025-10-08,1,105,89.56,19.3,6.0,12.3,0.0,54
2025-10-09,1,94,12.15,18.6,6.6,11.2,0.0,49
2025-10-10,1,106,90.33,17.5,7.9,12.2,0.0,52
2025-10-11,1,82,123.69,15.2,5.1,12.6,0.0,63
2025-10-12,1,85,63.89,14.1,1.3,7.7,0.0,57
2025-10-13,1,22,1.82,11.6,2.9,11.8,0.0,55
2025-10-14,1,20,31.18,5.7,1.1,7.8,46.0,85
2025-10-15,1,37,13.25,5.7,-3.8,6.1,0.8,76
2025-10-16,1,81,33.35,9.1,-3.2,5.1,0.0,76
2025-10-17,1,100,54.87,14.6,-2.0,9.3,0.0,68
2025-10-18,1,71,11.34,17.7,2.7,6.9,0.0,61
2025-10-19,1,45,11.85,17.8,4.0,7.3,0.0,53
2025-10-20,1,67,23.85,18.9,3.8,7.3,0.0,55
2025-10-21,1,120,130.52,20.9,5.5,8.6,0.0,52
2025-10-22,1,67,49.37,18.9,6.4,15.4,11.1,75
2025-10-23,1,131,242.66,15.8,3.2,12.6,0.0,74
2025-10-24,1,90,52.06,17.3,4.0,6.7,0.0,63
2025-10-25,1,29,15.08,15.4,4.4,8.2,0.0,60
2025-10-26,1,19,5.02,14.0,3.5,6.7,0.0,66
2025-10-27,1,119,63.36,14.8,2.0,7.5,0.0,67
2025-10-28,1,171,70.79,19.8,3.9,9.5,0.0,58
2025-10-29,1,128,177.41,20.6,6.0,10.5,0.0,49
2025-10-30,1,121,30.76,20.2,5.7,9.3,0.0,53
2025-10-31,1,88,66.4,18.7,5.6,8.2,0.0,52
2025-11-01,1,122,38.13,20.0,5.2,7.2,0.0,53
2025-11-02,1,105,30.83,18.9,4.8,8.5,0.0,55
2025-11-03,1,135,126.01,17.8,5.3,9.7,0.0,49
2025-11-04,1,90,79.72,17.5,4.0,7.8,0.0,50
2025-11-05,1,23,2.74,14.6,4.0,17.4,0.2,49
2025-11-06,1,44,91.36,13.9,2.7,7.5,0.0,70
2025-11-07,1,73,23.97,16.0,3.6,7.7,0.0,64
2025-11-08,1,80,45.23,19.4,2.8,7.7,0.0,64
2025-11-09,1,33,21.1,21.5,5.4,11.5,0.0,45
2025-11-10,1,111,40.83,21.1,6.5,10.5,0.0,41
2025-11-11,1,83,6.7,19.8,5.6,7.9,0.0,39
2025-11-12,1,50,66.05,16.8,7.4,12.7,0.0,38
2025-11-13,1,122,137.24,14.1,7.3,12.7,8.6,68
2025-11-14,1,33,17.86,10.5,6.6,15.1,32.0,91
2025-11-15,1,22,11.58,14.7,4.4,11.7,4.1,86
2025-11-16,1,3,1.39,7.5,2.2,6.6,27.8,98
2025-11-17,1,15,54.71,3.7,1.0,8.0,25.7,93
2025-11-18,1,108,35.82,4.3,-3.1,6.6,6.5,84
2025-11-19,1,95,40.94,4.6,-0.8,5.1,0.0,85
2025-11-20,1,52,33.78,3.1,-1.3,7.5,2.6,89
2025-11-21,1,60,28.6,7.0,-2.6,7.2,1.8,80
2025-11-22,1,42,66.95,8.4,-1.3,15.1,0.0,70
2025-11-23,1,40,22.68,9.7,-2.9,7.8,0.0,73
2025-11-24,1,78,331.56,12.2,-1.1,5.9,0.0,67
2025-11-25,1,53,20.34,14.0,-1.6,6.2,0.0,60
2025-11-26,1,53,14.2,16.1,-0.6,7.8,0.0,58
2025-11-27,1,26,12.26,16.0,0.2,8.2,0.0,58
2025-11-28,1,39,6.53,13.6,1.4,6.7,0.0,52
2025-11-29,1,32,46.79,13.3,-1.4,6.0,0.0,56
2025-11-30,1,26,8.17,11.1,-0.8,6.2,0.0,53
2025-12-01,1,60,38.06,10.6,-2.8,6.7,0.0,65
2025-12-02,1,87,29.86,10.9,0.2,6.3,0.0,66
2025-12-03,1,69,18.31,8.5,-3.5,18.0,0.0,60
2025-12-04,1,101,87.99,8.1,-3.4,6.7,0.0,52
2025-12-05,1,61,17.66,11.7,-1.3,6.4,0.0,67
2025-12-06,1,37,70.33,13.3,0.9,6.9,0.0,66
2025-12-07,1,46,26.21,14.3,0.8,7.4,0.0,64
2025-12-08,1,65,57.92,14.3,-0.6,9.3,0.0,57
2025-12-09,1,88,77.91,17.5,0.6,7.3,0.0,45
2025-12-10,1,72,56.74,18.7,-0.1,10.1,0.0,45
2025-12-11,1,70,33.85,18.9,2.3,8.5,0.0,51
2025-12-12,1,70,28.98,19.2,2.7,8.6,0.0,50
2025-12-13,1,46,19.43,17.3,2.1,10.2,0.0,48
2025-12-14,1,25,11.23,16.0,1.3,7.3,0.0,47
2025-12-15,1,53,20.62,16.0,0.3,10.0,0.0,46
2025-12-16,1,42,41.23,17.2,2.0,6.4,0.0,48
2025-12-17,1,107,41.27,13.4,4.2,5.0,0.0,69
2025-12-18,1,83,67.55,15.7,2.7,7.5,0.0,54
2025-12-19,1,42,23.15,14.5,3.3,6.1,0.0,44
2025-12-20,1,29,9.53,12.8,4.4,7.2,1.8,66
2025-12-21,1,28,5.0,13.4,6.3,8.5,0.1,68
2025-12-22,1,21,12.16,13.4,2.7,9.2,0.0,53
2025-12-23,1,3,2.92,11.5,4.3,10.5,0.4,48
2025-12-24,0,0,0.0,9.3,4.2,19.0,56.5,88
2025-12-25,1,21,4.37,4.7,0.9,19.6,28.1,90
2025-12-26,1,12,39.02,3.5,0.9,16.6,23.4,88
2025-12-27,1,19,5.07,2.5,-7.1,5.6,0.4,80
2025-12-28,1,20,9.59,5.4,-8.9,8.2,0.0,75
2025-12-29,1,43,22.58,9.0,-5.0,19.0,0.0,59
2025-12-30,1,18,3.09,10.3,-5.4,14.5,0.0,61
2025-12-31,1,1,0.74,8.9,2.1,9.7,3.8,74
2026-01-01,0,0,0.0,5.5,2.3,6.1,45.9,89
2026-01-02,1,6,2.93,9.8,-2.5,7.1,0.0,73
2026-01-03,1,3,1.49,6.4,0.9,12.8,28.5,81
2026-01-04,1,11,275.2,4.6,0.5,12.4,33.4,93
2026-01-05,1,12,2.32,5.1,-4.9,11.5,16.0,76
2026-01-06,1,16,5.68,7.2,-3.1,5.8,0.0,77
2026-01-07,1,18,8.5,4.8,-7.5,5.9,0.0,73
2026-01-08,1,36,6.83,2.7,-7.0,9.4,3.0,78
2026-01-09,1,48,27.53,8.1,-12.8,14.7,0.0,50
2026-01-10,1,39,8.58,7.4,-10.4,11.0,0.0,61
2026-01-11,1,31,18.72,9.7,-6.0,6.8,0.0,57
2026-01-12,1,54,31.39,10.5,-6.6,9.9,0.0,62
2026-01-13,1,78,31.62,12.5,-2.9,15.9,0.0,59
2026-01-14,1,90,65.64,13.8,-0.2,17.5,0.0,56
2026-01-15,1,140,50.11,12.8,-1.6,15.7,0.0,61
2026-01-16,1,97,49.28,16.7,-3.9,16.2,0.0,58
2026-01-17,1,52,36.3,16.3,-3.8,12.8,0.0,54
2026-01-18,1,22,14.5,15.9,-1.2,10.3,0.0,52
2026-01-19,1,56,364.24,15.1,-1.0,8.3,0.0,54
2026-01-20,1,104,183.04,14.5,-1.5,10.3,0.0,59
2026-01-21,1,46,21.01,13.2,1.2,5.6,0.0,55
2026-01-22,1,109,324.55,11.2,1.5,9.7,1.0,73
2026-01-23,1,66,25.42,9.9,-1.4,6.8,0.0,69
2026-01-24,1,60,36.01,9.1,-4.2,15.9,0.0,65
2026-01-25,1,22,8.66,7.8,-7.1,14.6,0.0,47
2026-01-26,1,47,21.0,9.9,-3.9,9.3,0.0,55
2026-01-27,1,71,14.46,10.7,-3.7,10.6,0.0,45
2026-01-28,1,73,84.9,11.0,-2.8,7.3,0.0,51
2026-01-29,1,61,18.2,13.6,-3.0,7.5,0.0,56
2026-01-30,1,54,51.15,15.0,-1.8,7.4,0.0,58
2026-01-31,1,50,3.94,16.3,-0.7,8.5,0.0,52
2026-02-01,1,61,43.28,15.4,-0.8,7.3,0.0,52
2026-02-02,1,85,819.08,14.8,-1.8,7.2,0.0,53
2026-02-03,1,162,43.93,17.1,-1.4,10.7,0.0,56
2026-02-04,1,186,66.86,17.1,-2.9,9.6,0.0,51
2026-02-05,1,128,237.25,16.0,-0.9,12.5,0.0,54
2026-02-06,1,44,40.3,12.9,2.9,8.8,0.4,55
2026-02-07,1,67,15.44,12.4,-2.6,11.2,0.0,67
2026-02-08,1,28,9.79,13.6,-1.0,7.0,0.0,65
2026-02-09,1,35,23.08,11.5,-0.8,6.0,0.0,67
2026-02-10,1,52,13.45,10.2,3.3,14.2,0.6,66
2026-02-11,1,46,23.27,6.2,-0.7,14.1,17.1,82
2026-02-12,1,113,98.87,4.7,-6.9,8.7,0.0,73
2026-02-13,1,108,53.55,7.1,-7.6,10.0,0.0,75
2026-02-14,1,26,6.12,8.0,-3.9,9.0,0.0,72
2026-02-15,1,21,145.48,6.1,-3.3,8.9,0.0,74
2026-02-16,1,2,1.95,5.4,-2.4,9.7,27.7,83
2026-02-17,1,5,13.15,-0.9,-5.0,17.5,49.6,94
2026-02-18,1,10,5.59,-1.7,-9.1,20.1,44.2,84
2026-02-19,1,8,59.1,-2.6,-6.7,15.0,21.9,80
2026-02-20,1,14,6.5,0.4,-13.8,9.7,3.5,71
2026-02-21,1,27,5.33,6.2,-12.2,7.6,0.0,69
2026-02-22,1,26,26.33,9.5,-6.4,9.2,0.0,63
2026-02-23,1,35,43.73,12.8,-4.1,9.7,0.0,57
2026-02-24,1,47,23.62,12.7,2.0,7.3,0.2,65
2026-02-25,1,35,21.53,13.2,2.9,6.0,0.3,74
2026-02-26,1,41,23.72,14.8,0.1,7.6,0.0,78
2026-02-27,1,70,22.72,16.4,1.0,8.1,0.0,71
2026-02-28,1,54,290.38,16.5,2.1,8.0,0.0,70
2026-03-01,1,19,4.64,13.6,0.4,10.6,0.3,74
2026-03-02,1,39,21.07,10.2,1.9,8.1,1.6,78
2026-03-03,1,95,111.94,12.5,-4.1,9.1,0.0,71
2026-03-04,1,71,118.42,11.1,-1.9,9.7,0.0,65
2026-03-05,1,68,64.22,9.1,-4.6,13.0,0.0,66
2026-03-06,1,84,51.16,10.4,-4.7,16.8,0.0,52
2026-03-07,1,61,17.31,13.2,-4.8,15.3,0.0,45
2026-03-08,1,67,18.22,15.5,-0.4,16.0,0.0,52
2026-03-09,1,35,2.18,14.9,-0.2,8.6,0.0,63
2026-03-10,0,0,0.0,13.7,0.6,8.6,0.0,73
2026-03-11,0,0,0.0,15.2,0.2,8.4,0.0,66
2026-03-12,0,0,0.0,17.9,0.5,8.2,0.0,62
2026-03-13,1,21,35.61,17.7,1.9,9.1,0.0,56
2026-03-14,1,69,211.18,16.5,2.7,7.5,0.0,53
2026-03-15,1,60,21.44,18.3,1.7,7.9,0.0,65
2026-03-16,1,67,24.5,20.9,3.6,9.8,0.0,60
2026-03-17,1,74,36.09,23.0,5.0,8.3,0.0,56
2026-03-18,1,102,18.87,23.3,6.1,10.4,0.0,54
2026-03-19,1,108,31.79,24.5,5.6,10.5,0.0,46
2026-03-20,1,98,22.25,25.0,6.8,10.2,0.0,48
2026-03-21,1,71,23.24,22.6,6.5,9.2,0.0,50
2026-03-22,1,51,21.38,20.9,6.1,8.7,0.0,57
2026-03-23,1,107,25.05,21.0,6.7,9.4,0.0,54
2026-03-24,1,114,33.81,21.3,7.6,8.5,0.0,59
2026-03-25,1,103,89.22,19.4,6.5,8.6,0.0,55
2026-03-26,1,70,66.23,19.6,4.2,8.6,0.0,58
2026-03-27,1,46,92.96,21.7,5.8,10.8,0.0,55
2026-03-28,1,71,70.35,19.6,5.8,9.0,0.0,52
2026-03-29,1,74,42.29,19.0,4.3,10.0,0.0,56
2026-03-30,1,30,40.73,17.5,4.3,13.4,0.0,53
2026-03-31,1,3,27.37,15.0,7.3,15.0,1.0,52
2026-04-01,1,7,6.79,9.7,2.8,12.3,8.7,85
2026-04-02,1,52,28.91,10.3,4.5,9.1,1.5,78
2026-04-03,1,58,23.1,14.2,-1.8,13.9,0.0,66
2026-04-04,1,73,18.74,16.5,-0.5,12.6,0.0,53
2026-04-05,1,49,7.75,17.4,1.8,11.6,0.0,50
2026-04-06,1,82,31.99,17.1,4.3,11.2,0.0,44
2026-04-07,1,124,307.43,17.1,3.2,9.4,0.0,55
2026-04-08,1,134,178.83,16.8,3.0,9.6,0.0,58
2026-04-09,1,59,83.34,15.1,4.9,10.7,1.2,64
2026-04-10,1,19,5.35,13.2,4.8,15.6,10.5,82
2026-04-11,1,37,15.78,9.9,0.0,15.1,27.2,80
2026-04-12,1,12,2.61,6.2,-0.5,14.3,29.3,86
2026-04-13,1,15,5.15,4.4,-2.1,6.5,11.4,81
2026-04-14,1,45,51.11,7.3,-6.6,7.3,0.5,73
2026-04-15,1,59,168.3,12.0,-2.1,7.5,0.0,72
2026-04-16,1,55,30.3,11.8,-0.3,10.5,0.0,68
2026-04-17,1,60,22.71,12.1,-2.2,14.2,0.1,69
2026-04-18,1,46,13.25,14.8,1.7,9.5,0.0,63
2026-04-19,1,11,11.29,15.9,2.2,12.2,0.0,51
2026-04-20,1,40,23.37,15.3,2.1,15.2,0.0,51
2026-04-21,1,38,5.32,13.7,2.1,12.2,12.3,70
2026-04-22,1,39,34.14,6.1,-2.4,11.4,14.9,74
2026-04-23,1,45,174.81,11.5,-3.1,10.1,0.0,67
2026-04-24,1,58,102.07,11.8,1.8,10.6,0.0,71
2026-04-25,1,19,19.49,10.8,0.9,8.5,6.9,78
2026-04-26,1,6,20.07,4.2,0.5,8.7,14.6,96
2026-04-27,1,20,28.02,6.0,0.3,8.0,3.8,90
2026-04-28,0,0,0.0,10.9,-2.4,10.2,1.1,71
2026-04-29,0,0,0.0,13.7,-1.1,10.5,0.0,64
2026-04-30,1,41,14.69,16.1,1.8,10.2,0.4,68
2026-05-01,1,55,12.62,17.7,2.4,10.0,0.7,64
2026-05-02,1,31,36.79,18.3,4.9,15.1,0.0,60
2026-05-03,1,8,1.6,17.3,5.4,12.6,3.1,65
2026-05-04,1,4,8.57,11.2,4.0,7.3,9.9,94
2026-05-05,1,10,6.33,6.7,3.3,8.4,12.1,95
2026-05-06,1,67,25.74,15.9,2.3,9.9,0.4,78
2026-05-07,1,75,47.93,19.7,3.7,9.2,0.0,65
2026-05-08,1,56,10.21,20.2,5.6,10.4,0.0,64
2026-05-09,1,38,36.65,21.0,5.3,8.9,0.0,59
2026-05-10,1,41,82.32,24.2,6.5,9.8,0.0,59
2026-05-11,1,74,55.87,24.5,7.8,10.6,0.0,46
2026-05-12,1,51,36.51,25.9,7.6,11.1,0.2,44
2026-05-13,1,29,23.08,23.4,10.0,9.0,0.0,56
2026-05-14,1,64,47.59,19.7,5.3,8.6,0.0,61
2026-05-15,1,71,37.8,19.3,5.9,11.9,0.0,59
2026-05-16,1,194,110.48,18.2,5.4,11.9,0.0,62
2026-05-17,1,84,178.12,15.3,4.0,14.8,0.0,64
2026-05-18,1,158,64.89,13.7,0.7,16.2,0.0,42
2026-05-19,1,145,119.46,16.5,2.4,13.0,0.0,40
2026-05-20,1,159,46.12,18.5,3.6,12.6,0.0,43
2026-05-21,1,92,63.58,20.6,5.2,11.2,0.0,49
2026-05-22,1,73,46.39,21.0,6.9,11.1,0.1,53
2026-05-23,1,61,103.78,21.2,7.0,11.1,0.0,44
2026-05-24,1,27,23.77,20.4,7.0,9.8,0.0,49
2026-05-25,1,55,153.36,19.1,6.6,9.0,0.3,60
2026-05-26,1,43,12.6,17.9,4.7,8.9,6.1,83
2026-05-27,1,31,16.61,8.9,1.0,8.9,6.4,81
2026-05-28,1,42,23.31,6.6,3.0,6.7,8.5,89
2026-05-29,1,7,7.39,9.5,2.2,7.7,2.9,89
2026-05-30,1,55,43.1,16.0,3.0,11.1,0.4,72
2026-05-31,1,59,22.63,19.4,3.5,10.5,0.0,65
2026-06-01,0,0,0.0,22.0,4.5,9.7,0.0,52
2026-06-02,1,52,18.41,22.8,7.5,9.1,0.0,48
2026-06-03,1,52,22.41,23.8,8.2,8.8,0.0,50
2026-06-04,1,44,44.52,24.8,7.8,8.5,0.0,48
2026-06-05,1,84,102.54,24.9,9.8,9.6,0.0,52
2026-06-06,1,39,30.61,23.5,9.4,12.9,0.0,46
2026-06-07,1,38,9.09,20.9,6.9,11.4,0.0,42
2026-06-08,1,28,28.96,19.3,7.8,10.8,0.0,44
2026-06-09,1,45,96.85,20.6,8.7,9.3,0.0,50
2026-06-10,1,59,42.2,24.6,8.9,9.4,0.0,56
2026-06-11,1,56,141.32,27.4,10.5,11.1,0.0,48
2026-06-12,1,91,35.01,27.3,11.7,11.4,0.0,39
2026-06-13,1,49,31.55,26.7,12.7,13.4,0.0,42
2026-06-14,1,41,129.91,26.2,13.7,11.4,0.0,41
2026-06-15,1,42,73.85,26.3,12.2,10.2,0.4,45
2026-06-16,1,106,50.68,26.9,12.4,9.6,0.1,45
2026-06-17,1,142,501.98,26.9,13.3,10.2,0.0,47
2026-06-18,1,254,230.75,25.1,13.1,9.6,0.0,55
